中文,English
线,Wire
一人,one person
蓝色,blue
浪漫,romantic
亲,relative
起床,get up
很少,rare
大脑,brain
师父,Master
殿下,Your Highness
指控,Allegations
道理,reason
擦,wipe
尖叫,Scream
爵士,Jazz
冠军,champion
场,field
按照,according to
重点,Key Points
教育,educate
知不知道,Do you know
一堆,pile
前往,Go
对待,treat
空,null
进展,progress
醒,Awake
有所,Some
大叔,Uncle
仔细,carefulness
半,Half
票,ticket
娜,Na
祝你好运,Good luck
护士,Nurse
一颗,One
既,now that
罗斯,Ross
摸,touch
战士,warrior
太空,Space
申请,Apply
太久,Too long
勇气,courage
万岁,Long live
组,Group
重,Heavy
委员会,Committee
强,powerful
付钱,Pay
面包,bread
不仅,not only
关注,focus on
不久,soon
看不见,Invisible
万一,just in case
熟悉,familiar
正如,As
笑话,joke
法,Law
咯,Slightly
经典,classic
一间,One
凭,By
抛弃,abandon
时光,Time
实验室,laboratory
掌握,master
英语,English
在意,care
管理,manage
干活,Work
洞,Hole
范围,scope
李,plum
低,Low
集中,concentrated
遇见,meet
懂吗,Do you understand?
做点,Do something
右,right
说出,Say
艾伦,Allen
报道,Report
最高,Highest
之外,Beyond
哪兒,Where
表情,expression
警局,Police Station
用力,Use force
谎言,lie
回忆,remember
传统,Tradition
放到,Put
都行,All is OK
海洋,ocean
椅子,Chair
欣赏,appreciate
五分钟,Five minutes
舞会,prom
搜查,search
快要,Coming Soon
小女孩,Little Girl
退出,quit
看吧,Look
事业,cause
头上,On the head
机器人,robot
绝不,no way
专业,major
作用,effect
完毕,complete
王,king
增加,Increase
不太好,Not so good
隐藏,hide
诅咒,curse
随,Follow
一面,one side
思想,Thought
项目,project
杂志,Magazine
再見,goodbye
达到,achieve
关掉,Turn off
罢了,That's all
不吃,Do not eat
部门,department
联邦,federal
坏人,The Bad Guys
职业,Profession
剑,sword
观察,observe
格,grid
毕业,graduate
扂,扂
阳光,Sunlight
白色,White
岛,island
吐,vomit
想见,Want to see
有效,efficient
做过,Did
实验,experiment
親愛的,dear
心中,Heart
忍受,Bear
对此,To this
圣诞节,Christmas
罗伯特,Robert
试着,Try
作家,writer
罪,crime
出口,exit
感兴趣,interested
区域,area
主演,Starring
愤怒,anger
抽烟,smoke
凯特,Kate
著名,Famous
渴望,eager
乱,chaos
内心,heart
小组,group
挖,dig
将来,future
信心,confidence
事故,ACCIDENT
玩具,Toy
对手,opponent
带你去,Take you there
抢劫,robbery
华盛顿,Washington
现金,cash
摆脱,get rid of
海,ocean
变态,abnormal
在场,Presence
锁,Lock
这座,This
细节,detail
抱怨,complain
部,department
陌生人,stranger
秨,英语
为此,to this end
毛,hair
独自,alone
红,red
档案,file
一套,set
优秀,excellent
喊,call
美妙,wonderful
血液,blood
数据,data
内容,content
大师,master
这张,This one
随着,along with
混乱,confusion
聊天,chat
乖乖,Good boy
走路,walk
马丁,Martin
需,need
早点,Breakfast
伙伴,partner
有空,available
指挥,command
态度,manner
左,Left
几次,several times
牛,ox
审判,Judgment
媒体,media
这有,This has
保安,security guard
教会,church
即,Right now
記得,remember
并非,Not
工厂,factory
收集,collect
背,back
每年,each year
赶,rush
射击,shooting
一根,One
过得,Live
损失,loss
帮帮我,Help
王八蛋,Son of a bitch
法官大人,Your Honor
埋,Buried
杀掉,Kill
这条,This
鞋子,shoe
事物,thing
死者,deceased
不止,more than
拖,drag
能否,Can
奴隶,slave
兒子,Son
我現,I now
被捕,Arrested
瞷,Scarlet
分析,analyze
微笑,Smile
翴,翴
俄罗斯,Russia
情人,lover
胡说,nonsense
市场,market
降落,landing
投降,surrender
定,Certainly
交往,Interaction
骑,ride
幻想,fantasy
首歌,Song
盒子,Box
开火,Fire
那条,That one
算了吧,Forget it
出事,Accident
悲伤,sad
进攻,attack
超,overtake
威廉,William
谈过,Talked
经济,economy
聊聊,Let's chat
宁愿,would rather
鸡,chicken
局,Bureau
两人,Two people
那晚,That Night
葬礼,funeral
嫉妒,envy
芝加哥,Chicago
想干什么,What do you want to do?
乖,good
绝不会,Never
英尺,foot
演,play
蟿,Cicada
男子,man
误会,Misunderstand
这话,This word
清醒,wide awake
外套,coat
打个,Hit
不信,No
出色,outstanding
当心,Watch out
失陪,Excuse me
稍微,a little
走进,Walk In
進來,Come in
毁灭,destroy
回头,Look Back
五个,Five
工人,Worker
举行,Held
度过,Spend
类似,similar
懂得,know
科学家,the scientist
支付,Payment
牛奶,milk
正要,Just about to
反,opposite
说好,Say Good
长得,Looks
搭档,partner
露西,Lucy
坚强,strong
鞋,shoe
语言,language
感染,Infect
歲,Years old
规定,Regulation
农场,farm
钻石,diamond
六,six
常常,Frequent
蛋,Egg
生日快乐,Happy birthday
直升机,Helicopters
广告,advertise
其實,actually
州,state
表达,Express
砍,cut
那裡,There
镇,town
說過,Said
總,Total
沙漠,desert
完蛋,Finished
引擎,engine
口袋,pocket
愿望,desire
道路,the way
带我去,take me
海滩,beach
文化,culture
总部,Headquarters
脑子,Brain
城里,In the city
慰,comfort
风,wind
黄金,gold
暗,dark
说法,statement
奥,profound
耐心,patience
去死吧,Go to hell
课,class
放过,Let go
解雇,dismiss
期间,period
伤口,Wound
脱,Take off
投资,invest
此事,This matter
树,Tree
描述,describe
退休,retire
长时间,Long time
地下,underground
克斯,kes
稍,a little
情況,condition
代价,cost
欺骗,cheat
队伍,Team
咦,Huh
到时候,By then
指望,Expect
烂,rotten
视频,video
也許,maybe
不来,Not coming
踩,Step on
爹,father
一座,One
选手,Players
挑,pick
国际,internationality
留给,Leave to
希特勒,Hitler
间谍,spy
真想,Really want
程度,degree
用于,Used for
尊敬,Respect
保重,Take care of yourself
一声,A sound
革命,revolution
搜索,search
羅,Luo
教训,lesson
支援,support
莫,Mo
盖,build
珍妮,Jenny
心理,psychology
真不错,Really good
返回,return
设备,equipment
制服,uniform
同一个,The same
左边,left
西班牙,Spain
拿出,Take out
贱人,Bitch
糖,sugar
承受,bear
少校,Major
決定,Decide
擅长,Specialties
復,Re
千万,10 million
裙子,skirt
非洲,Africa
基本,Basics
煮,cook
我來,I'm coming
女友,Girlfriend
见见,Meet
说完,Finished
传说,legend
冒,Risk
也就是说,That is to say
哈哈,Ha ha
斯特,Ster
一路,All the way
迷人,charming
很酷,Very cool
亚,Asia
非法,illegal
屋子,room
女兒,daughter
搞错,Make a mistake
作战,Combat
他媽,His mother
情绪,mood
那会,That will
然,Yes
工具,tool
手臂,arm
結束,end
皮肤,skin
真心,sincere
害死,Kill
起诉,Prosecution
做个,Make a
骂,scold
五年,Five years
建筑,architecture
多次,repeatedly
全国,Nationwide
流血,bleed
混,mix
指挥官,commander
合法,legitimate
驾驶,drive
没想,No idea
史蒂夫,Steve
麦,wheat
接电话,Answering the phone
我见,I see
检察官,Prosecutor
转移,Transfer
不管怎样,one way or another
相处,get along
一切都是,Everything is
原本,original
共同,common
不要紧,It doesn't matter
威士忌,whisky
烟,cigarette
妈咪,Mommy
點,point
网络,network
儿童,child
之内,Within
修,build
蛇,snake
后期,Later
太晚,Too late
年龄,age
楼下,downstairs
员工,staff
科,division
尼,nepal
避免,avoid
肯,Ken
吵架,quarrel
效果,Effect
歌手,singer
一刻,A moment
活下去,Stay alive
砸,Smash
美味,tasty
滚出去,Get out
神圣,sacred
运行,run
双手,Both hands
交,pay
有着,have
那邊,Over there
還好,It's not bad
刚好,just
撤退,retreat
托尼,Tony
赚钱,make money
聽著,Listen
地面,ground
男生,Boys
七,seven
處,Department
最佳,optimal
出门,Going out
想来,Want to
尴尬,Awkward
当成,As
手中,In hand
等一等,Wait a minute
假设,Assumptions
鲍勃,Bob
莎,Sarah
男友,Boyfriend
艰难,difficult
公开,public
我怕,I'm afraid
布朗,Brown
大事,event
全球,worldwide
这么久,So long
蔚,Wei
那次,That time
装置,Device
签名,sign
外星人,alien
商店,shop
沒什麼,Nothing
部落,tribe
反抗,Resistance
第二次,Second time
克莱尔,Claire
琵,lute
联盟,alliance
硬,hard
蠢,stupid
乐趣,pleasure
稳定,Stablize
姐妹,sisters
恋爱,in love
屎,shit
经理,manager
掩护,cover
取得,Get
女子,woman
玻璃,Glass
眼前,In front of
身,body
惊人,amazing
师傅,master
機會,opportunity
猴子,monkey
害,Harmful
陷入,Fall into
高興,Happy
良好,good
打击,Strike
药物,drug
内部,internal
指示,instruct
亚当,Adam
打扮,dress up
大街,Main Street
過去,Past
杯,cup
尔,you
礼貌,polite
第三,third
德国人,German
诶,Hey
保险,Insurance
走出,Get out
地下室,basement
各,each
小镇,Small town
佬,guy
最新,up to date
伊,I
加州,California
大麻,marijuana
手段,means
更糟,Worse
泰勒,Taylor
苏联,Soviet Union
你们好,Hello
警察局,Police Station
偷走,Steal
风险,risk
取,Pick
星星,Star
主席,President
酷,cool
一趟,One trip
趁,take advantage of
妮,ni
没人会,No one will
关门,close the door
话题,topic
改,change
片名,Title
型,type
下班,get off work
区别,the difference
议员,Member of Parliament
丢下,Drop
整理,tidy
时期,period
老人,elder
楼,building
眼神,Eye contact
电梯,elevator
小说,novel
签,sign
新娘,bride
仪式,ceremony
魅力,charm
领导,lead
处于,In
公里,kilometer
大楼,Building
爱人,spouse
形成,form
右边,right
称为,called
礼拜,worship
为止,until
圣,Saint
称,say
发明,invention
辦法,Method
老妈,Mom
儿,Son
几分钟,A few minutes
小家伙,Little One
独立,independent
確定,determine
确信,Confirmation
指纹,fingerprint
坐牢,Jail
打来,Call
兔子,rabbit
至于,As for
地板,floor
额,Forehead
卡特,Carter
期望,expect
好孩子,Good Kids
海军,navy
对象,Object
凯文,Kevin
追求,Pursue
东京,Tokyo
镜头,Lenses
平常,usually
交换,exchange
一整天,All day
肮脏,dirty
监控,monitor
这辈子,This life
甩,Throw
救护车,ambulance
一口,One bite
采访,Interview
角度,angle
部长,minister
做梦,dream
咱,we
商量,discuss
快速,fast
回家吧,Go home
财产,property
很长,Very long
森,forest
只好,I have to
饼干,biscuit
無法,Unable
舞台,stage
名叫,Name
几点,What time is it?
房,house
舞,dance
有罪,guilty
浪费时间,Waste of time
丹,Dan
灯,lamp
瑞克,Rick
同一,same
保佑,bless
对抗,confrontation
性命,life
强奸,rape
试试看,Give it a try
饮料,drinks
癬,Ringworm
成熟,Mature
人质,hostage
浴室,bathroom
陷阱,trap
荣誉,honor
当中,among
一本,a book
敬,respect
笨,fool
具有,have
射,shoot
类型,type
顿,Dayton
在于,In
本人,Personal
空中,Aerial
咋,How
小偷,Thief
牌,Card
隻,Only
归,Home
白天,daytime
下雨,rain
姓,surname
正义,justice
可笑,ridiculous
式,Mode
還,Also
当地,local
今日,today
艺术家,artist
情,Affection
托,Trust
货,goods
中央,central
观点,Viewpoint
贾,Jia
侦探,detective
卧室,bedroom
袋子,bag
风格,style
修好,Fixed
资格,qualifications
宗教,religion
今早,This morning
老朋友,Old Friend
某,certain
之下,under
起飞,take off
判断,judge
荒谬,absurd
尼斯,Nice
俄国,Russia
圣经,Bible
保留,reserve
汤米,Tommy
祝福,bless
毛病,Problems
知,Know
受够了,fed up
就行,Just
大不了,Big deal
绳子,rope
借口,Excuse
维持,maintain
寂寞,lonely
女巫,Witch
泡,Bubble
超人,Superman
后果,as a result of
我试,I try
总会,General Assembly
绑,tie
饭,meal
罗杰,Roger
槍,Gun
开口,Opening
慢点,Slower
说些,Say something
軍,Military
帝国,empire
竞选,Election
表明,show
市长,mayor
提起,Mention
门口,Entrance
屋里,In the house
将要,Will
美國,America
一项,One
古老,ancient
功夫,effort
温柔,gentle
想不到,Unexpected
战场,battlefield
回报,Rewards
结局,ending
抓到,Caught
支票,Cheque
座位,seat
不仅仅,Not only
投,cast
情感,emotion
有种,There is a kind
雖然,although
卫星,satellite
提前,in advance
下降,decline
建造,put up
大海,Sea
柏林,Berlin
搞笑,funny
协助,assist
吃掉,Eat
中士,Sgt.
短,short
下周,next week
我本,I
一架,One
哪来,Where
修女,nun
这部,This
夫妇,Couple
吸,suck
证实,Confirmation
致命,fatal
新鲜,Fresh
疾病,disease
温暖,warmth
苹果,apple
连接,connect
当初,At first
月亮,moon
保密,Confidentiality
平静,calm
可能性,possibility
骑士,knight
基本上,basically
整晚,All night
演奏,play
四处,around
歡迎,welcome
一瓶,One bottle
玩意儿,thing
出卖,sell
针对,against
成长,growing up
蠢货,idiot
老头,Old Man
本身,itself
每個,Each
不愿,Unwilling
就是说,that is
理想,ideal
适应,adapt
噩梦,Nightmare
棒极了,Excellent
瞎,blind
牙齿,teeth
宋体,Songti
烤,bake
自豪,pride
天天,day by day
繫,Tie
第二天,the next day
提议,proposal
念,read
重大,major
托马斯,Thomas
走运,Lucky
三明治,sandwich
進去,Go in
消灭,wipe out
卡拉,Kara
忠诚,loyalty
应付,cope
屋顶,roof
试,try
當時,At that time
基,base
敲,knock
第二个,The second
钱包,wallet
这样的话,In this case
查尔斯,Charles
文章,article
理查德,Richard
养,keep
飞船,spaceship
尼尔,Neil
迷路,get lost
这片,This piece
注意力,attention
那種,That kind
上课,Attend class
有什麼,What is
圣诞,Christmas
不安,disturbed
